hex_id,point_id,P_ij
36,335637,0.004036683972895851
36,335637,0.004036683972895851
36,50027099,0.004675682545551336
36,1097,0.003024776459101578
36,1155,0.003933210269730779
37,135247,0.0028150638110796106
37,300686,0.0033977252552285413
37,114613,0.006519767985101679
37,158336,0.007019850041127086
37,216668,0.026617754551135575
37,109221,0.024654578944653713
37,50005267,0.009391244923991614
37,164045,0.022694423219059696
37,50008234,0.03781439207208226
37,313972,0.10573636298141394
37,313586,0.014316220752254447
37,214004,0.0026279054603104246
37,123260,0.0029904317588076
37,50038086,0.003046859505882586
37,50011662,0.0033551576495596913
37,128155,0.0038023133164497556
37,50015344,0.08148453212007613
37,50015344,0.08148453212007613
37,50008314,0.07716948014867613
37,50008314,0.07716948014867613
37,50002618,0.003510223795101325
37,319831,0.003391266776959556
37,142678,0.003777576720334189
37,142678,0.003777576720334189
37,142678,0.003777576720334189
37,142678,0.003777576720334189
37,50008314,0.07716948014867613
37,50008314,0.07716948014867613
37,50015344,0.08148453212007613
37,50015344,0.08148453212007613
37,1061,0.004778499161611078
37,1062,0.007670614376357746
37,1063,0.0188046948708001
37,1068,0.003121334309184764
37,1087,0.005721649278343541
37,1088,0.0188046948708001
37,1089,0.007670614376357746
38,316998,0.07559487663181913
38,311516,0.02897230657372334
38,50000309,0.2209950119225522
38,319479,0.025309296008922948
38,165913,0.027555037507517383
38,307802,0.11084364335627109
38,50019334,0.1342388981073099
38,162553,0.041058345581993574
38,50013264,0.036468571174738076
38,312428,0.05567621470946505
38,139037,0.0318666904575262
38,1038,0.10915123647614787
38,1040,0.07198542605515462
38,1041,0.030284445436858567
39,162433,0.048903188321300875
39,50035892,0.014955878268497376
39,50013069,0.0318993874215735
39,164005,0.03375917411286686
39,160547,0.01804946177470258
39,50013987,0.08559307390144782
39,2055,0.05570512960405774
39,157715,0.1192924504384654
39,206909,0.030148569788943223
39,50016466,0.02080361256672938
39,50006913,0.01611582732523725
39,214816,0.01951873615625431
39,50022975,0.0169328158314842
39,50008878,0.019799136119589573
39,305662,0.02244223268340465
39,322499,0.024631376851091142
39,310122,0.028497951765125717
39,50016121,0.04050732491159341
39,1018,0.18289706507366413
39,1019,0.03465711400958522
39,1036,0.09515596288398241
39,1037,0.039734530190403204
40,310169,0.06911463964081607
40,162837,0.06862513768389183
40,137621,0.12978890073207358
40,50017284,0.09226937707180599
40,165263,0.058224732639821176
40,156999,0.10579035860838532
40,156977,0.08812417655287141
40,308179,0.07256131723539344
40,1008,0.03352094412835613
40,1009,0.04406500970708656
40,1010,0.23791540599949856
41,5074,0.07670845132438522
41,50022127,0.18174779268713517
41,139490,0.008686680921757213
41,50017560,0.01602114575536698
41,323326,0.01837394037136387
41,161324,0.02356416165926353
41,150554,0.024949431765891684
41,364170,0.0758310798562219
41,50015247,0.11169494515046705
41,1184,0.24270030356543382
41,1185,0.07255687154048879
41,1186,0.14716519540222478
42,50012731,0.018740586049712144
42,50013770,0.016940370153956677
42,158835,0.017325682416987436
42,5927,0.00789197296716921
42,205001,0.022155388916556298
42,50017220,0.002879334425855356
42,312212,0.006505353214086538
42,305933,0.0016559554846840084
42,139563,0.001698138688475646
42,6071,0.01197858406333967
42,213810,0.014941115048443296
42,213591,0.0020607365184763197
42,217460,0.003879955382405825
42,315869,0.0037191004155743518
42,319945,0.009457682146498019
42,202826,0.008837504225624812
42,307082,0.3702180330450161
42,50005846,0.022233455054006937
42,50014180,0.005594285632019094
42,147976,0.006128033959925555
42,157598,0.042321127081329735
42,50019260,0.04931885126729496
42,1283,0.0332221788981068
42,50005059,0.00849145789980717
42,50013432,0.0542258015101084
42,216293,0.016633803418676332
42,50001411,0.02467317181014664
42,50031275,0.01660771640293729
42,50003019,0.007484532280927171
42,1153,0.03018069956963707
42,1154,0.03486637267194897
42,1164,0.012545256787995267
42,1174,0.003238884760644617
42,1175,0.0025818638584026326
42,1176,0.0025818638584026326
42,1177,0.004407695581301285
42,1178,0.011781424119026176
42,1179,0.07062246243888594
42,1180,0.006480999274190743
42,1181,0.005183462599799801
42,1182,0.002328225944370966
42,1183,0.005380880157246075
43,209621,0.006469268765380072
43,50007108,0.0030072619662774433
43,314947,0.005559970550072731
43,50014582,0.008252026211260987
43,218396,0.02675573753324815
43,50007243,0.025459307911126276
43,50007243,0.025459307911126276
43,144597,0.05124236775212826
43,159616,0.09704494928837805
43,50006544,0.10511359513917146
43,50014990,0.10975305203611707
43,102332,0.03674864505393523
43,50019620,0.04205442985730092
43,304381,0.05958374420533122
43,50007243,0.025459307911126276
43,50007243,0.025459307911126276
43,215971,0.028802962838279284
43,157827,0.01841128656426687
43,208335,0.013726791387307334
43,208335,0.013726791387307334
43,140119,0.010320290986011655
43,140119,0.010320290986011655
43,127171,0.01687160119303059
43,309655,0.014391885090067877
43,321022,0.011486351072425913
43,50003801,0.010589328788784765
43,140527,0.010879046910732082
43,217423,0.03522623212104545
43,141797,0.00899981772463371
43,202530,0.03195329072379372
43,140119,0.010320290986011655
43,140119,0.010320290986011655
43,208335,0.013726791387307334
43,208335,0.013726791387307334
43,314956,0.009083298285876435
43,141272,0.011879173448721539
43,123498,0.015043805457310055
43,308981,0.003953274147563562
43,110564,0.004189036080332825
43,317467,0.006967735133767927
43,1165,0.006168376317930487
43,1166,0.005492888605054204
44,350046,0.015105016711157864
44,2454,0.01409625421183131
44,50007483,0.013546880051106111
44,50013391,0.008269298989186739
44,141500,0.0050059887996776724
44,50022479,0.005664021578039538
44,50014102,0.0058817252752650885
44,158526,0.006910395826540152
44,332239,0.003380894767708372
44,141130,0.005775926383727645
44,125938,0.003624243862741753
44,159387,0.004833807670876276
44,306519,0.004977429870974765
44,163662,0.005725351837565997
44,162057,0.007724874658950057
44,309168,0.02176467997717825
44,124813,0.062426896497349664
44,159164,0.00380782766695858
44,208296,0.005550286318828482
44,50022919,0.004061477361691664
44,159923,0.0034589761801928154
44,124049,0.0034589761801928154
44,306446,0.0038979530079381293
44,111541,0.05597759286585885
44,159614,0.026409890193377108
44,50015381,0.015839848997809682
44,50006036,0.014263602448546027
44,320592,0.02057009829431478
44,50006952,0.013605425212617234
44,50014963,0.003962126228914608
44,160311,0.0047131616948997215
44,303212,0.006524847636049152
44,206949,0.008673892621201327
44,169877,0.010125527275446097
44,50008920,0.025925634070273804
44,172437,0.02878277824777364
44,102778,0.006241245148187386
44,308003,0.17248505289044566
44,112934,0.09194355942814299
44,50017741,0.0036219346917990294
44,161731,0.003624732655645961
44,169598,0.006749146641458413
44,101756,0.006144011782062233
44,211005,0.003085615652824259
44,168525,0.00308507205174108
44,213026,0.009754130652876213
44,312293,0.004220504246456051
44,50013068,0.004229799034830625
44,149433,0.003892992154870772
44,50016618,0.0034952159047002013
44,2182,0.0028911003564281407
44,157767,0.002796594631041953
44,212542,0.003041863230116129
44,141151,0.0028563033876626183
44,307325,0.0031540692677364604
44,313139,0.003774304243350772
44,50015132,0.003590955554615517
44,50015722,0.009133690600711383
44,123745,0.010098144268212301
44,140070,0.026289399201605543
44,996,0.02810319031127568
44,50006347,0.046746557170387615
44,308958,0.05412360174129218
44,1055,0.0028707042953624567
44,1059,0.0131662644845636
44,1060,0.010466634846835068
45,50034737,0.0034090095314568193
45,311410,0.008464732884910772
45,316508,0.005269351906432591
45,112685,0.004692952984330586
45,5428,0.00679953036782402
45,315660,0.02719578756976761
45,157910,0.03987983291372358
45,212274,0.022600564098804423
45,50005499,0.0071937829141412645
45,156711,0.015950997210901752
45,141401,0.029678984524537228
45,50010084,0.019453590590412802
45,306743,0.01405821679381551
45,110623,0.0034741706125561204
45,323098,0.0032327468036100933
45,323036,0.030461049747848617
45,50010060,0.03139716935516118
45,50006771,0.07128622587007254
45,155932,0.0499266815427896
45,142568,0.1278591548081722
45,308100,0.011790061200430881
45,312473,0.04122368640978394
45,157770,0.03433079048313292
45,142912,0.01952987692054716
45,310094,0.010334473466275937
45,206097,0.008752637540813688
45,137176,0.013844412288059181
45,321194,0.023506713113502324
45,151691,0.010401898211481056
45,150701,0.010141504474720375
45,111059,0.007906415092133964
45,164697,0.015358806824725171
45,310657,0.015008528830593058
45,144560,0.047358399434797346
45,113174,0.02684183791099177
45,50017063,0.010504156441180263
45,1042,0.03742802213835407
45,1043,0.027490133924549777
45,1045,0.02395192820098056
45,1046,0.023253965699830514
45,1050,0.00674734982112521
45,1051,0.006765016107999791
45,1052,0.009972310608048537
45,1056,0.002845223308199066
45,1057,0.014519021202051341
45,1058,0.017908297314422943
46,212451,0.03559323524203725
46,210282,0.016984245462075158
46,214434,0.016065595036579887
46,209718,0.02519224556137388
46,342331,0.034351344640265236
46,209176,0.0335870167747349
46,50022075,0.032550805585104675
46,306922,0.028107528321754872
46,164179,0.05284301915270708
46,302095,0.044117268242410496
46,121352,0.037328326041690306
46,151875,0.0672819841268943
46,50022339,0.054151676504740835
46,50005904,0.06033000430059005
46,50006393,0.030721033962248043
46,317464,0.052324573740511415
46,50035105,0.06312729226943846
46,306930,0.0925258989051218
46,112891,0.01965393160177159
46,326637,0.017363307395404804
46,50002867,0.01912468718389715
46,165658,0.06239669598613434
46,50013587,0.052066383719013155
46,1016,0.012902690150102956
46,1017,0.011540927046808187
46,1044,0.02776828304658946
47,317624,0.010335808272458509
47,326073,0.014834707071107586
47,310391,0.012050936043876796
47,214131,0.017577933131979875
47,319050,0.014747121388289585
47,50034918,0.025605749234553044
47,164023,0.5380884494705267
47,103929,0.09336739801736749
47,50007090,0.013284941101156508
47,123078,0.06316115190318704
47,50006425,0.01397621419773224
47,1011,0.14208918519348224
47,1012,0.04088040497428219
48,324782,0.05794212253395954
48,137365,0.11180581022287454
48,142978,0.08048250109878785
48,50015985,0.11008177906586826
48,308364,0.09024318140586352
48,137674,0.06395686555740968
48,214779,0.1215075482982527
48,331720,0.09958146334121912
48,127374,0.13528154085779195
48,301416,0.07773376887941277
48,50027095,0.036606886566659495
48,50001712,0.014776532171900471
49,50016277,0.004261814890633674
49,207218,0.010874043585211449
49,3849,0.021562549292402224
49,150729,0.027963135874149413
49,308260,0.008433826297667714
49,170609,0.010402749503150888
49,308296,0.012632259194119843
49,308296,0.012632259194119843
49,211593,0.011214523504433608
49,308296,0.012632259194119843
49,308296,0.012632259194119843
49,50016142,0.01178885821440248
49,151814,0.016220611388401005
49,308309,0.020222940922846894
49,50008206,0.04335742416654205
49,125738,0.1740723826824994
49,160054,0.2717758402585515
49,50005090,0.005933505182508107
49,132759,0.009370725364683223
49,211201,0.0093485043975578
49,157562,0.010450674935126886
49,211055,0.03572173443097787
49,211508,0.07704162543530042
49,103125,0.010896832605144482
49,50018097,0.008707113928256974
49,50016375,0.0054156947638977935
49,211709,0.005802471371027346
49,202312,0.00905874683073591
49,134717,0.017166119826758513
49,214183,0.02559669485470796
49,312425,0.048912452428382484
49,173129,0.012391877168392667
49,322864,0.012168798631357593
49,1199,0.013336690487812306
50,111208,0.024074902565200826
50,162886,0.006711771642982351
50,50019608,0.01623181707746305
50,323085,0.023700710414956083
50,124885,0.05523201285655975
50,164144,0.04415797520397612
50,311985,0.010596353253003827
50,340344,0.12045152444238189
50,307096,0.11410101742052448
50,327619,0.027314201151761943
50,322154,0.055665532347520114
50,50002241,0.07367502106153019
50,50001022,0.008057536271495132
50,308215,0.005826001246150022
50,3892,0.008128737139952632
50,1187,0.03256286865987746
50,1188,0.057858238427822
50,1189,0.3156537788168422
51,50002962,0.10399796594520942
51,306539,0.13640596593631327
51,50003086,0.013817741070653188
51,50035050,0.013872788051901619
51,1167,0.05509110551249471
51,1168,0.06310400278985104
51,1169,0.07023561255275122
51,1170,0.07023561255275122
51,1171,0.022562337192058725
51,1172,0.02609278149976761
51,1173,0.03771301527461081
51,1190,0.31505130395574815
51,1191,0.034381317375390234
51,1192,0.02605313052104591
51,1193,0.011385319769453088
52,308733,0.013803581528712664
52,50005386,0.06677967117909775
52,323014,0.08476357906812429
52,215599,0.025641928598953995
52,160807,0.14546924015667875
52,163510,0.16325594267424606
52,50006280,0.0623277316639948
52,315195,0.01661922769054978
52,162108,0.12364307977969057
52,320500,0.14187286964615636
52,144894,0.02989202866315351
52,209189,0.03186014965757732
52,218320,0.0562139040495016
52,50014731,0.03785706564356258
53,162151,0.004368828063663286
53,306178,0.0047583544728188225
53,363859,0.0051238072537192906
53,160805,0.013168550866427766
53,217229,0.007471822070694345
53,317394,0.005180722441253204
53,50027102,0.011757323416623694
53,50009353,0.021428396295437194
53,50017222,0.016851457605950606
53,311273,0.016538140542350983
53,50007038,0.012974952432551052
53,50019221,0.008581251703723626
53,163597,0.004970552016839718
53,207969,0.0050058435116756205
53,50013422,0.03228237524338476
53,50013422,0.03228237524338476
53,50013422,0.034658603426375785
53,50013422,0.034658603426375785
53,316453,0.055477778113323634
53,210485,0.03975997425851142
53,311572,0.026966826957134926
53,50012866,0.01875001282975715
53,161349,0.01568080972065661
53,161349,0.01568080972065661
53,127390,0.013960474362430125
53,306761,0.03393153351306746
53,50015544,0.03393153351306746
53,309346,0.019703736197781225
53,212022,0.017215938116875322
53,307327,0.014292920805618935
53,311374,0.011564755918471272
53,161349,0.01568080972065661
53,161349,0.01568080972065661
53,211003,0.024103688140994357
53,50015044,0.01991825160900699
53,50011632,0.020747496764336952
53,127750,0.0607026787822715
53,50016159,0.07121782401936678
53,209219,0.061689990971391426
53,3196,0.01425965929850896
53,147663,0.02879037247518059
53,212422,0.014483394533353029
53,50007531,0.01473947383553142
53,215390,0.012896358819599415
53,308828,0.007193011057049993
53,50007876,0.006413979422951314
53,1053,0.014040160606603106
53,1054,0.008462976161938423
54,308375,0.03816316694186065
54,213012,0.04329574329548889
54,50014330,0.05218952273777105
54,324796,0.06784984703732758
54,305535,0.06861875942867007
54,312789,0.094907726458828
54,153612,0.05561884303473975
54,50015868,0.05931931140057134
54,159145,0.10867775420827787
54,162237,0.04848876144120164
54,209125,0.0459740135109332
54,307131,0.03909004733684247
54,50035283,0.025901230652666942
54,164235,0.04619218553386196
54,308651,0.022288611396107546
54,50031674,0.021590235089135774
54,210964,0.06784984703732758
54,1047,0.09398439345838774
55,307362,0.06966213958305809
55,50019822,0.021497351512385222
55,162912,0.03226056794144539
55,213487,0.0330948744690974
55,218531,0.13733183164862597
55,318084,0.05542877346755173
55,323509,0.08213279258132923
55,168994,0.19713927805387776
55,145235,0.03673114239678749
55,50015385,0.0608535093164491
55,50015385,0.0608535093164491
55,151376,0.023827406828588128
55,3958,0.033011629040317146
55,50010338,0.034468175211140026
55,50015385,0.0608535093164491
55,50015385,0.0608535093164491
56,314626,0.03067537044000006
56,168523,0.039356157950004744
56,326835,0.05827229839107901
56,141025,0.07691068238306632
56,141910,0.0915349410281356
56,307996,0.08251210884927804
56,310086,0.06903587307893808
56,312340,0.05033347773676741
56,319966,0.05979591036876373
56,203076,0.07700369344779173
